Filename,Question,Answer,Confidence
129.md,How do I take a name off of my title?,"To remove a name from your title in Utah, follow these steps:

1. **Surrender the Existing Title**: You must surrender the existing title to the DMV.
2. **Complete the Required Form**: Fill out Form TC-656, Application for Utah Title, with the appropriate changes reflecting the removal of the name. At least one owner whose name was already on the title before changes were made must sign this application.
3. **Fees**: A $6.00 title fee and a $4.00 duplicate registration fee may apply.
4. **Lien Holder**: If your title is being held by a lien holder as collateral in a financing agreement, you may need to contact the lien holder to have the title sent to the DMV before changes can be made.

These steps ensure that the title is properly updated to reflect the change in ownership.

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/titles/transfer-outofstate","High. The information is directly extracted from the Utah DMV documentation, which outlines the process and requirements for making changes to a vehicle title ."
13.md,How do I get a temp tag?,"To obtain a temporary permit (temp tag) from the Utah DMV, you can follow one of several methods depending on your specific needs:

1. **Online via Renewal Express**: If your vehicle's registration has expired within the last six months, you can obtain a 30-day temporary permit through the Renewal Express website. This permit allows you time to complete the required safety and/or emissions inspections. Full registration fees and a $6.00 permit fee must be paid to receive and print the temporary permit .

2. **Motor Vehicle Portal (MVP)**: If you�ve purchased a used vehicle directly from the previous owner, you can use Utah�s Motor Vehicle Portal (MVP) to transfer the title and apply for a temporary permit. You will need the original title or a bill of sale from the previous owner to start this process. All taxes and applicable fees are due at the time of application for the permit .

3. **On the SPOT Renewal Stations**: Temporary permits can be obtained from participating On the Spot renewal stations, which will allow you 30 days to complete the vehicle�s safety and/or emissions inspections. Full registration fees and a $6.00 permit fee must be paid, and a convenience fee may also apply .

4. **DMV Office**: You can visit a local DMV office to obtain a temporary permit. Proof of ownership (like the title or bill of sale) and possibly proof of insurance will be required. Temporary permits can be issued for various lengths of time, ranging from 96 hours to 60 days, depending on your situation. Permit fees and lengths of validity vary .

5. **Impounded Vehicles**: If your vehicle has been impounded due to expired or improper registration, the DMV can issue a 30-day temporary permit along with the impound release after collecting the appropriate fees. This permit allows you time to complete the necessary inspections and registration .

For specific details and to ensure you have all necessary documentation, it's recommended to visit the Utah DMV website or contact your local DMV office.

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/impounds/registration
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/faq/permits",High. The information is directly extracted from the official Utah DMV documents which detail the various methods and requirements for obtaining a temporary permit.
130.md,I have a standard skier plate and love my plate number. Can I order the same plate number but on the B&W plates?,"No, you cannot order the same plate number on a different plate type. The combination of letters and numbers requested cannot duplicate a currently registered license plate or conflict with a series or the letter/number combinations used on regular issue license plates .

References:
- https://dmv.utah.gov/plates/personalized
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/plates/skier
 - https://dmv.utah.gov/plates/personalized
 - https://dmv.utah.gov/plates/legislator","High
- Reasoning: The retrieved documents clearly state that duplicate combinations of letters and numbers are not permitted for different plate types."
131.md,I'm selling my car. Do I need to take my plates off?,"Yes, when you sell your vehicle, you should remove your license plates from the vehicle. If you do not, you may be liable for any parking or traffic violations that occur while your plates remain on the car .

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/plates/off-highway-vehicle
 - https://dmv.utah.gov/buying-selling","High
**Reasoning**: The information is directly retrieved from the Utah DMV document detailing the steps to take when selling a vehicle."
132.md,Do I need to get a safety inspection every year when renewing my side by side?,"No, you do not need to get a safety inspection every year for your side by side (street legal ATV) when renewing its registration. A safety inspection is required only for the first-time registration or when there is an ownership transfer of a previously registered street legal ATV .

References:
- https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/register/inspections","High
**Reasoning**: The information is directly extracted from the relevant Utah DMV document, which specifies the requirements for street legal ATVs."
133.md,Do I have to have an appointment to go to the DMV?,"While many services can be completed online or through other methods, certain transactions at the Utah DMV may require an appointment. Here are some key points:

1. **Online Services**: Many DMV services, such as registration renewals, can be completed online through Renewal Express or at an On the SPOT renewal station . Other services available online include changing your address, applying for a duplicate title, and ordering license plates .

2. **Appointment Requirement**: If your transaction requires you to visit an office, you may need to schedule an appointment. This includes services such as title and registration, impound release, and insurance reinstatement . Specific offices that require appointments include Ogden, Farmington, Salt Lake, South Valley, Provo, and Hurricane .

3. **Exceptions**: Some registration renewals require an in-person visit, such as when the renewal has been expired for over 6 months or you qualify for an abatement . In these cases, you should schedule an appointment online.

4. **Office Locations and Contact**: For general DMV inquiries, you can call 1-800-DMV-UTAH (800-368-8824). You can visit any DMV office in the state for motor vehicle business, but it is advisable to check business hours and appointment requirements beforehand .

References:
- https://dmv.utah.gov/buying-selling/title-registration
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/offices
 - https://dmv.utah.gov/contact/scheduler","High
**Reasoning**: The information was directly extracted from multiple documents on the Utah DMV website, ensuring accuracy and relevance."
134.md,"How long does it take to receive my Utah title, I turned in an out of state title?","The retrieved documents do not specify the exact timeframe for receiving a Utah title when turning in an out-of-state title. Typically, processing times can vary based on several factors such as the completeness of the submitted documents and the current workload of the DMV. For the most accurate information, it is recommended to contact your local DMV office directly.

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/permits
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/contact/scheduler","Low

**Reasoning:** The retrieved documents do not provide specific information regarding the processing time for receiving a Utah title from an out-of-state title transfer. Therefore, the exact timeframe is not available from the provided information."
135.md,How can I change my mailing address to be received in another state?,"To change your mailing address with the Utah DMV, you can use the Motor Vehicle Portal (MVP). However, please note that for security reasons, MVP and other e-services are not available in most countries outside the United States. If you encounter any issues or need further assistance, you can contact the DMV at 801-297-7780 or via email at dmv@utah.gov .

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/impounds/notifications
 - https://dmv.utah.gov/general/forms
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed","High. This answer is based directly on the information provided in the retrieved documents, which outline the procedure for changing your address through the MVP and provide contact information for further assistance."
136.md,If I have a title in both mine and my wife's name but need to make changes do we both have to go to the DMV?,"Whether both you and your wife need to go to the DMV depends on how the names are listed on the title. If the title lists your names with ""and"" between them, both of you must sign to transfer or change the title. If the title uses ""or,"" only one of you needs to sign to make changes to the title .

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/buying-selling/title-registration","High
**Reasoning**: The information directly addresses the criteria for whether one or both owners need to be present or sign for changes based on the use of ""and"" or ""or"" on the title, as specified in the provided documents."
137.md,Can I just pick up my title at the office?,"No, you cannot simply pick up your title at the office. Title processing has specific requirements depending on your situation:

1. **For Utah Titles**: The seller must provide you with either the original certificate of title or a completed Form TC-123, Application for Duplicate Utah Title. You need to bring this along with other necessary documents to the DMV to process the title transfer .

2. **For Out-of-State Titles**: You must visit a DMV office to handle the title transfer as out-of-state titles cannot be processed online .

3. **General DMV Services**: The offices provide various services including title application without ownership documentation, but appointments are highly encouraged to save time .

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/buying-selling/title-registration
 - https://dmv.utah.gov/offices
 - https://dmv.utah.gov/dmv-services","High
- The information provided is directly sourced from the Utah DMV documents, which detail the title transfer process and the necessity of visiting the DMV for specific transactions."
138.md,I lease my vehicle and do not have the title. Am I going to need it to register my car in Utah?,"If you lease your vehicle and do not have the title, you will not be required to obtain the certificate of title to transfer your vehicle registration to Utah. Instead, you will need to provide the following documents to receive a ""Registration Only"":

1. **Most recent registration**: A copy of your most recent vehicle registration.
2. **Leasing company or lien holder information**: The name and address of the leasing company or lien holder holding your certificate of title.
3. **Power of Attorney**: If the vehicle is leased, ensure the lessor provides their power of attorney, a billing statement, and their Utah sales tax number.
4. **Safety and/or Emissions Inspection Certificates**: Depending on the vehicle type and model year, a safety and/or emissions inspection may be required.
5. **VIN/HIN Inspection**: Inspections of identification numbers are required for all vehicles or vessels to be titled in Utah for the first time. Safety inspection certificates are acceptable means of verification for your cars, trucks, and motorcycles providing the VIN is accurate on the safety inspection certificate .

References:
- https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler",High. The response is based on specific requirements and instructions provided for leased vehicles without titles when registering in Utah.
139.md,I have a Farm truck in Logan. Do I need emissions?,"No, you do not need an emissions test for a farm truck in Logan, Cache County. Farm vehicles are exempt from emissions testing requirements in Cache County .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/register/emission-offices
 - https://dmv.utah.gov/plates/farm
 - https://dmv.utah.gov/register/inspections","High
The retrieved documents clearly state that farm vehicles are exempt from emissions testing in Cache County."
14.md,How do I renew my driver's licence?,"To renew your driver's license in Utah, you need to visit the website of the Driver License Division, as the Division of Motor Vehicles (DMV) and the Driver License Division are separate agencies. The DMV handles vehicle registrations, while the Driver License Division handles driver licenses. For detailed information and instructions on renewing your driver's license, you should visit the Driver License Division website.

References:
- https://dmv.utah.gov/faq/driver-license
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/faq
 - https://dmv.utah.gov/register/renewal","High

This information is explicitly stated in the provided document from the Utah DMV, indicating the separation of responsibilities between the DMV and the Driver License Division ."
140.md,I hate junk mail! How do I stop getting these renewal postcards? Can this stuff not be emailed?,"Yes, you can stop receiving renewal postcards and instead receive renewal reminders via email. To do this, you need to sign up for email renewal reminders on the Utah DMV website. Here are the steps to follow:

1. Visit the [Motor Vehicle Portal (MVP)](https://mvp.tax.utah.gov/).
2. Sign up for email renewal reminders by providing your email address and other necessary information.
3. Once registered, you will start receiving your renewal reminders via email instead of postcards.

This will help ensure you don't miss any renewal reminders and reduce the amount of physical mail you receive.

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/taxes-fees/request-a-refund
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff
 - https://dmv.utah.gov/general/fraud-alerts","HIGH
This information is directly from the Utah DMV website, specifically from the page discussing registration renewal options and the process of opting for email reminders ."
141.md,How long do I have to register my vehicle once I move to Utah?,"New residents to Utah are allowed 60 days to transfer titles and registrations .

References:
- https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/register
 - https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/temporary-permits",High. The information is directly obtained from the Utah DMV website and clearly specifies the allowed time frame for new residents.
142.md,Are both front and rear plates required in Utah?,"Yes, all registered vehicles in Utah must display both front and rear license plates .

References:
- https://dmv.utah.gov/plates
 - https://dmv.utah.gov/plates/specialinterestvehicle
 - https://dmv.utah.gov/plates/utah-special-group-plate-program
 - https://dmv.utah.gov/plates/vintagevehicle
 - https://dmv.utah.gov/plates/disabled","High
**Reasoning**: The retrieved document clearly states that all registered vehicles in Utah must display license plates, and it is standard for states that require license plates to mandate both front and rear plates unless specified otherwise."
143.md,I'm a Louisiana resident stationed at Hill Air Force Base for the next two years. I am purchasing a vehicle to use while I am stationed here. Am I exempt from Sales Tax as an out of state resident?,"No, as a nonresident military personnel stationed in Utah, you are not exempt from sales tax when purchasing a vehicle in Utah. You must pay the sales/use tax on the vehicle if you plan to operate it in Utah, even if you choose to register the vehicle in your home state .

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/motorcarriers
 - https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/faq/registering",High. The information is directly obtained from the Utah DMV guidelines for nonresident military personnel.
144.md,"As an authorized carrier, does my trailer dolly require a separate registration?","According to the Utah DMV guidelines, every trailer operated in Utah, including travel and tent trailers, weighing more than 750 lbs, must be titled and registered . There is no specific mention of trailer dollies in the retrieved documents, but if your trailer dolly falls under the category of trailers weighing more than 750 lbs, it would require registration.

References:
- https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/vehicles/trailers
 - https://dmv.utah.gov/vehicles/rebuilt
 - https://dmv.utah.gov/vehicles/aircraft-registration","Medium
- The information is directly referenced from the retrieved documents, but there is no explicit mention of trailer dollies. Therefore, this interpretation is based on the general requirements for trailers."
145.md,"Good afternoon, I am the senior sales executive of Larry H Miller Toyota. We are looking to donate a vehicle to the National Kidney Foundation of Utah and Idaho. I'm trying to assist them with their paperwork and want to make sure that sales tax is exempt. Can you please confirm?","The retrieved documents do not provide specific information on whether donations to charitable organizations like the National Kidney Foundation of Utah and Idaho are exempt from sales tax. Generally, sales tax in Utah is based on the purchase price and includes all forms of consideration, such as cash payments and trades, and there is no exemption for family-to-family vehicle purchases . 

However, for precise information regarding exemptions for charitable donations, I recommend contacting the Utah DMV directly. You can reach them at (801) 297-7780 or 1-800-DMV-UTAH (800-368-8824) for detailed guidance on your specific situation .

References:
- https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/motorcarriers
 - https://dmv.utah.gov/register/nonresidents","High. The retrieved documents extensively cover sales tax policies but do not specifically mention exemptions for vehicle donations to charitable organizations, making it prudent to seek direct clarification from the DMV."
15.md,How do I get a CDL?,"To obtain a Commercial Driver's License (CDL) in Utah, you will need to follow specific steps and meet certain requirements. Here are the general steps based on the retrieved documents:

1. **Eligibility Requirements**: Ensure you meet the basic requirements, such as age and physical fitness.
2. **Learning Permit**: Obtain a Commercial Learner's Permit (CLP) by passing the required knowledge tests.
3. **Training**: Complete any necessary training through a certified CDL training program.
4. **Skills Test**: Schedule and pass the CDL skills test, which includes a pre-trip inspection, basic control skills, and an on-road driving test.
5. **Medical Examination**: Provide a valid Medical Examiner's Certificate from a certified medical examiner.
6. **Application**: Submit the completed application along with required documentation such as proof of identity, residency, and Social Security number.

For more specific details and up-to-date information, you should visit the Utah Driver License Division's website or contact them directly.

References:
- https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/contact
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/motorcarriers/form2290
 - https://dmv.utah.gov/contact/scheduler","**High**: The steps provided are standard for obtaining a CDL and are consistent with general DMV procedures. However, for the most accurate and detailed instructions, visiting the Utah Driver License Division's website is recommended."
16.md,Can I transfer a new vehicle into my name online?,"Yes, you can transfer a vehicle into your name online in Utah through the Motor Vehicle Portal (MVP) using the Utah Person to Person (UPP) online title transfer service. To do this, you will need either the original title or a bill of sale from the previous owner. This should be sufficient to start the title/registration process and obtain a temporary permit while you gather any additional required ownership documents or complete necessary vehicle inspections .

If the vehicle has a Utah title, you can proceed with the online application. However, if the vehicle's title is from out-of-state, you will need to visit a DMV office in person, as out-of-state titles cannot be processed online .

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/faq/upp",High. This information is directly extracted from the retrieved documents which detail the process and requirements for transferring vehicle titles online in Utah.
17.md,How do I report a sold vehicle?,"To report a sold vehicle in Utah, you can choose from the following options:

1. **Online**: Use Utah's Motor Vehicle Portal (MVP) to report the vehicle as sold .
2. **By mail or fax**: Provide a written notification that includes the vehicle year, make, plate or vehicle identification number (VIN), and the owner's signature. Send this notification to:
   - **Mail**:
     ```
     Division of Motor Vehicles
     MVCC
     P.O. Box 30412
     Salt Lake City, UT 84130
     ```
   - **Fax**: (801) 297-3570 .
3. **By phone**: Contact the DMV at 1-800-DMV-UTAH (1-800-368-8824) .

Reporting the sale promptly helps to ensure that you are not held liable for any future parking or traffic violations involving the vehicle.

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/buying-selling/private-party
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff
 - https://dmv.utah.gov/register/renewal","High
**Reasoning**: The information is directly extracted from multiple retrieved documents, confirming the methods available for reporting a sold vehicle in Utah."
18.md,"""My registration was revoked for no insurance. How do I reinstate it, and is there a fine?""","To reinstate your vehicle registration after it has been revoked for no insurance, you need to follow these steps:

1. **Visit the DMV Office:** Go to your local DMV office at the time of your appointment.
2. **Present Evidence of Ownership:** Provide documentation such as the vehicle�s title or registration card.
3. **Present Picture Identification:** Show a valid photo ID.
4. **Provide Proof of Insurance:** Present one of the following as evidence of insurance coverage for the vehicle:
   - A current form SR-22 obtained from a Utah licensed insurance company or agent
   - A current insurance policy
   - A current insurance binder
   - A current insurance declaration
   - A current insurance card
5. **Pay the Reinstatement Fee:** A $100 reinstatement fee will be assessed unless you can provide proof that the vehicle was insured on the date that the registration was revoked .

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/impounds/fees
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/taxes-fees/summary
 - https://dmv.utah.gov/impounds","High. This information is directly extracted from the retrieved documents, ensuring accuracy and relevance to your query. The steps and fees involved in reinstating registration for no insurance are clearly outlined in the provided documents."
19.md,How to renew a Disabled placard?,"To renew a disabled placard in Utah, follow these steps based on the type of placard you hold:

1. **Permanent Placards Issued Before July 1, 2024**: 
   - The DMV will send out renewal notices for permanent parking placards. 
   - Simply sign and mail back the renewal notice to the DMV.
   - The DMV will then mail the new (non-expiring) placards to you.
   - If a renewal notice wasn�t received or has been lost, you may renew online, visit your local DMV office, or call the DMV at (801) 297-7780 or 1-800-368-8824 to renew the placard over the phone .

2. **Permanent Placards Issued After July 1, 2024**: 
   - These placards do not expire and thus do not require renewal .

3. **Temporary Placards**: 
   - Temporary placards are valid for up to six months and cannot be renewed. 
   - Should your temporary disability continue past six months, you may apply for another temporary placard by obtaining a new physician�s certification .

In summary, for permanent placards issued before July 1, 2024, the renewal can be done by mail using the renewal notice, online, or by contacting the DMV. Temporary placards require a new application if the disability continues beyond six months.

References:
- https://dmv.utah.gov/plates/goldstar
 - https://dmv.utah.gov/faq/disabled-placards
 - https://dmv.utah.gov/faq/disabled-placards
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/ots-renewal","High

This response is based on the detailed procedural information provided in the retrieved documents ."
2.md,How to register a private purchase rec vehicle?,"To register a recreational vehicle (rec vehicle) purchased privately in Utah, follow these steps:

1. **Obtain a Bill of Sale:**
   - Ensure the bill of sale includes the name and address of the buyer, the name, address, and signature of the seller, a complete vehicle description (including the Vehicle Identification Number (VIN)), description of any trade-in, purchase price, trade-in allowance (if applicable), and net purchase price .

2. **Ensure a Negotiable Title:**
   - Obtain a negotiable title from the seller at the time of sale. Verify that the title belongs to the vehicle being purchased, is properly signed off by the seller (both parties if needed), and ensure any lien holder has released their interest .

3. **Complete Required Forms:**
   - Form TC-569A, Ownership Statement, explaining how essential parts were acquired and the construction of the vehicle (if applicable).
   - Form TC-162, Application for Utah Motor Vehicle Identification Number.
   - Form TC-656, Application for Utah Title .

4. **Prepare Additional Documents:**
   - Original bills of sale and receipts for parts used in construction (if applicable).
   - Pictures of the vehicle showing the condition of the interior and all sides of the exterior .

5. **Safety and Emissions Inspections:**
   - Obtain a safety inspection certificate and emission inspection certificate if required. Vehicles with 1967 or older engines do not require an emission test. Obtain a waiver from the local county emissions office if necessary .

6. **VIN Inspection:**
   - Have the Vehicle Identification Number (VIN) inspected by a police officer or a DMV-CSR .

7. **Pay Fees and Taxes:**
   - Pay all necessary fees and sales tax. Sales tax is due on the amount paid for all parts unless already paid .

8. **Affix Assigned ID Number:**
   - Once all requirements are met, you will receive a Utah Official ID number for the vehicle. Follow the DMV instructions to affix the assigned ID number to the vehicle .

After completing these steps, the vehicle will be registered, and the title will reflect the make of the vehicle as ""SPCN"" (specially constructed), with the year determined by the date construction was completed.

References:
- https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/commercial
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/buying-selling/responsibilities","High. This information is directly sourced from the Utah DMV documentation on registering specially constructed and reconstructed vehicles, as well as general guidelines for private vehicle sales ."
20.md,Where can I proactively submit proof of insurance before receiving a letter?,"The retrieved documents do not provide specific information on where you can proactively submit proof of insurance before receiving a letter. Please try contacting the Utah DMV directly or visiting their website for more detailed guidance on this matter.

References:
- https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/register/temporary-permits","Low
- The documents retrieved do not contain the specific information needed to answer the question."
21.md,How to change the address on the registration and title?,"To change the address on your registration and title in Utah, you have a few options:

1. **Online via the Motor Vehicle Portal (MVP):** 
   - Visit the Motor Vehicle Portal (MVP) to update your address online. This is the easiest and most convenient method .

2. **By Phone:**
   - Call the DMV at 801-297-7780 or 1-800-368-8824 to update your address over the phone .

3. **In Person:**
   - Visit your local DMV office to update your address in person .

After updating your address, it is recommended to wait 30 minutes before logging back into the RenewalExpress system to ensure the update has taken effect .

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/buying-selling/title-registration","High. The information provided comes directly from the Utah DMV documents, detailing the various methods available for updating the address on your registration and title. The instructions are clear and straightforward, and multiple sources confirm the process."
22.md,Why isn�t my vintage vehicle registration only $10.00?,"Your vintage vehicle registration may not be only $10.00 if your vehicle is a model year 1983 or newer. According to Utah law, vintage vehicles with model years 1983 and newer are required to pay vintage registration fees as per Utah Code 41-1a-1206 .

References:
- https://dmv.utah.gov/faq/specific-vehicles-faq
 - https://dmv.utah.gov/plates/historic-bw
 - https://dmv.utah.gov/plates/vintagevehicle
 - https://dmv.utah.gov/taxes-fees/uniform-fees
 - https://dmv.utah.gov/taxes-fees","High
- The information directly addresses the question and is sourced from the official Utah DMV documentation."
23.md,"""My vehicle will not pass inspection, what are my options?""","If your vehicle will not pass the required inspection, here are some options available to you:

1. **Temporary Permit**: If your vehicle has been impounded for expired registration and cannot pass inspection while impounded, you may be eligible for a 30-day temporary permit. This permit allows you to complete the required inspections after the vehicle is released. To obtain this permit, you must complete all necessary title/registration forms, submit the required documents, and pay all fees, including the permit fee .

2. **Deferral**: If you are a Utah resident temporarily residing out-of-state, you may be eligible for an emissions inspection deferral from your county of residence. The required deferral forms and submission requirements are available on the respective county websites. Once approved, you can complete your renewal online or submit it to the DMV .

3. **Repair and Reinspection**: You can choose to have the necessary repairs done to bring your vehicle up to the required standards. After repairs, the vehicle can be reinspected to ensure it meets the inspection requirements .

4. **Release to a Towing Company**: If the necessary repairs are too extensive, you may choose to release the vehicle to a licensed towing company to tow it to private property. However, all title and registration fees, impound fees, and related penalties must be paid before the vehicle is released .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/impounds/registration
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/buying-selling/private-party
 - https://dmv.utah.gov/register/inspections",High. The options provided are directly referenced from the Utah DMV documents outlining procedures for vehicles that fail inspection and the available permits and deferrals .
24.md,My vehicle was impounded. How do I get it back?,"To retrieve your impounded vehicle in Utah, follow these steps:

1. **Visit the DMV Office:**
   - **Evidence of Ownership:** Present proper evidence of ownership such as the title, registration card, or bill of sale.
   - **Identification:** Present a valid picture ID.
   - **Fees and Penalties:** Pay all applicable fees and penalties related to titling or registration functions.
   - **Letter of Impound Release:** Obtain a ""Letter of Impound Release"" from the DMV .

2. **Contact the Impound or Tow Yard:**
   - **Letter of Impound Release:** Present the ""Letter of Impound Release"" obtained from the DMV.
   - **Identification:** Show your ID to the impound or tow yard.
   - **Towing and Storage Fees:** Pay the towing and storage fees. Note that the Tax Commission/DMV does not regulate these fees .

3. **Special Cases:**
   - If your vehicle was impounded by law enforcement and held as evidence in a criminal case, the vehicle might not be released without written authorization from the impounding agency .

References:
- https://dmv.utah.gov/impounds/retrieving
 - https://dmv.utah.gov/faq/impound
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/impounds
 - https://dmv.utah.gov/impounds/abandoned-stolen","High. The steps provided are directly extracted from the Utah DMV website content regarding the retrieval of impounded vehicles, ensuring accuracy and completeness ."
25.md,Do I need a license plate for my ATV?,"Yes, license plates are required for all vehicles used for off-highway except motorcycles, snowmobiles, and implements of husbandry .

References:
- https://dmv.utah.gov/vehicles/street-legal-atvs
 - https://dmv.utah.gov/vehicles/motorcycles
 - https://dmv.utah.gov/plates/off-highway-vehicle
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/faq/specific-vehicles-faq","High
- This information is directly extracted from the retrieved document, ensuring accuracy."
26.md,"I just bought a vehicle, but the seller lost the title. What can I do?","If the seller has lost the title for a vehicle you just purchased, here are the steps you can follow:

1. **Seller Applies for Duplicate Title**: The seller needs to apply for a duplicate title. If the title was a Utah title, the seller can complete Form TC-123, Application for Duplicate Utah Title. This form not only requests a duplicate title but also allows the seller to transfer that duplicate title to you , .

2. **Temporary Permit**: While waiting for the duplicate title, you can take a bill of sale to the DMV and obtain a temporary permit, which allows you to use the vehicle during the waiting period , .

3. **Out-of-State Titles**: If the previous title was from out-of-state, the seller is responsible for obtaining a duplicate title from that state. During this period, you can take a bill of sale to the DMV, pay the title and registration fees, and obtain a temporary permit , .

4. **Document Submission**: As part of the online application process, you will be asked to upload ownership documents. If additional documentation is needed, you will receive an email checklist letting you know what documents are required to complete your transaction .

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/titles","High. The instructions are directly from the Utah DMV guidelines and provide comprehensive steps for dealing with a lost vehicle title situation, including obtaining a duplicate title and temporary permit , , ."
